Name,Address,Signal Level,Frequency,Channel,Time,X,Y,Z,MAC,Final
BPGC-NAB,70:EA:1A:22:8F:E0,-41,2437,6,12/02/2020 23:28:27,0,6,0,124150763130848,124150763130848060
BPGC-NAB,08:4F:A9:10:4B:80,-49,2462,11,12/02/2020 23:28:27,0,6,0,9138231856000,9138231856000060
BPGC-NAB,00:A3:8E:60:F2:A0,-72,2462,11,12/02/2020 23:28:33,0,6,0,702468387488,702468387488060
BPGC-WIFI,40:01:7A:B1:00:40,-70,2462,11,12/02/2020 23:26:38,0,6,0,70375097565248,70375097565248060
BPGC-NAB,70:EA:1A:22:A9:A0,-66,2437,6,12/02/2020 23:30:27,0,6,0,124150763137440,124150763137440060
BPGC-NAB,70:EA:1A:22:96:20,-68,2462,11,12/02/2020 23:30:28,0,6,0,124150763132448,124150763132448060
BPGC-NAB,70:EA:1A:22:AC:00,-84,2437,6,12/02/2020 23:28:27,0,6,0,124150763138048,124150763138048060
BPGC-NAB,70:EA:1A:22:96:A0,-68,2412,1,12/02/2020 23:28:28,0,6,0,124150763132576,124150763132576060
BPGC-NAB,A8:B4:56:CA:8F:40,-72,2437,6,12/02/2020 23:30:33,0,6,0,185492503695168,185492503695168060
BPGC-NAB,A8:B4:56:CC:DE:00,-90,2462,11,12/02/2020 23:28:31,0,6,0,185492503846400,185492503846400060
BPGC-NAB,70:EA:1A:22:9B:80,-82,2412,1,12/02/2020 23:31:26,0,6,0,124150763133824,124150763133824060
BPGC-NAB,70:EA:1A:22:96:00,-33,2412,1,12/02/2020 23:04:36,2,4,0,124150763132416,124150763132416240
BPGC-NAB,00:A3:8E:60:F2:A0,-49,2462,11,12/02/2020 23:02:30,2,4,0,702468387488,702468387488240
BPGC-NAB,70:EA:1A:22:A9:40,-57,2462,11,12/02/2020 23:00:32,2,4,0,124150763137344,124150763137344240
BPGC-NAB,A8:B4:56:CC:DE:00,-53,2462,11,12/02/2020 23:04:36,2,4,0,185492503846400,185492503846400240
BPGC-NAB,70:EA:1A:22:98:20,-50,2437,6,12/02/2020 23:02:36,2,4,0,124150763132960,124150763132960240
BPGC-NAB,70:EA:1A:22:A0:20,-59,2437,6,12/02/2020 23:00:36,2,4,0,124150763135008,124150763135008240
BPGC-NAB,70:EA:1A:22:A5:A0,-56,2462,11,12/02/2020 23:04:36,2,4,0,124150763136416,124150763136416240
BPGC-NAB,70:EA:1A:22:AC:00,-59,2437,6,12/02/2020 23:04:54,2,4,0,124150763138048,124150763138048240
BPGC-NAB,08:4F:A9:10:4B:80,-58,2462,11,12/02/2020 23:04:36,2,4,0,9138231856000,9138231856000240
BPGC-WIFI,40:01:7A:B1:00:40,-72,2462,11,12/02/2020 23:00:34,2,4,0,70375097565248,70375097565248240
BPGC-NAB,70:EA:1A:22:97:80,-72,2412,1,12/02/2020 23:00:36,2,4,0,124150763132800,124150763132800240
BPGC-NAB,70:EA:1A:22:9F:20,-71,2462,11,12/02/2020 23:02:34,2,4,0,124150763134752,124150763134752240
BPGC-NAB,08:4F:A9:2D:8A:A0,-77,2412,1,12/02/2020 23:04:54,2,4,0,9138233772704,9138233772704240
TG,80:14:A8:BE:BB:28,-82,2412,1,12/02/2020 23:00:32,2,4,0,140826218773288,140826218773288240
sks,88:63:DF:BB:74:A5,-78,2462,11,12/02/2020 23:04:34,2,4,0,149962536744101,149962536744101240
BPGC-NAB,08:4F:A9:2D:8A:40,-78,2462,11,12/02/2020 23:02:36,2,4,0,9138233772608,9138233772608240
BPGC-NAB,70:EA:1A:22:8F:E0,-65,2437,6,12/02/2020 23:00:36,2,4,0,124150763130848,124150763130848240
BPGC-NAB,70:EA:1A:22:87:60,-80,2412,1,12/02/2020 23:00:36,2,4,0,124150763128672,124150763128672240
BPGC-NAB,08:4F:A9:39:68:40,-79,2462,11,12/02/2020 23:04:34,2,4,0,9138234550336,9138234550336240
BPGC-WIFI,40:01:7A:01:B8:80,-81,2412,1,12/02/2020 23:02:32,2,4,0,70375086078080,70375086078080240
BPGC-NAB,70:EA:1A:22:96:20,-72,2462,11,12/02/2020 23:02:36,2,4,0,124150763132448,124150763132448240
BPGC-NAB,70:EA:1A:22:96:A0,-81,2412,1,12/02/2020 23:04:30,2,4,0,124150763132576,124150763132576240
BPGC-NAB,08:4F:A9:30:00:00,-84,2437,6,12/02/2020 23:04:32,2,4,0,9138233933824,9138233933824240
BPGC-NAB,08:4F:A9:2D:8A:40,-44,2462,11,11/02/20 11:00:07 PM,5,0,0,9138233772608,9138233772608500
BPGC-NAB,08:4F:A9:39:68:20,-49,2437,6,11/02/20 11:00:09 PM,5,0,0,9138234550304,9138234550304500
BPGC-NAB,08:4F:A9:2D:8A:A0,-55,2412,1,11/02/20 11:00:21 PM,5,0,0,9138233772704,9138233772704500
BPGC-NAB,70:EA:1A:22:9F:20,-68,2462,11,11/02/20 10:55:33 PM,5,0,0,124150763134752,124150763134752500
BPGC-NAB,00:A3:8E:4E:29:A0,-73,2412,1,11/02/20 11:00:05 PM,5,0,0,702467156384,702467156384500
BPGC-NAB,08:4F:A9:39:68:40,-70,2462,11,11/02/20 11:00:05 PM,5,0,0,9138234550336,9138234550336500
BPGC-NAB,A8:B4:56:CC:DE:00,-75,2462,11,11/02/20 11:00:09 PM,5,0,0,185492503846400,185492503846400500
sks,88:63:DF:BB:74:A5,-76,2462,11,11/02/20 10:55:30 PM,5,0,0,149962536744101,149962536744101500
BPGC-NAB,70:EA:1A:22:A5:A0,-73,2462,11,11/02/20 10:55:31 PM,5,0,0,124150763136416,124150763136416500
BPGC-NAB,70:EA:1A:22:87:60,-73,2412,1,11/02/20 10:55:31 PM,5,0,0,124150763128672,124150763128672500
BPGC-NAB,08:4F:A9:30:00:00,-76,2437,6,11/02/20 10:55:31 PM,5,0,0,9138233933824,9138233933824500
BPGC-NAB,70:EA:1A:22:98:20,-77,2437,6,11/02/20 10:55:31 PM,5,0,0,124150763132960,124150763132960500
CRT-MIFI,8C:21:A7:E1:4E:22,-69,2427,4,11/02/20 10:58:26 PM,5,0,0,154076178370082,154076178370082500
