Name,Address,Signal Level,X,Y,Z,MAC,Location
BPGC-NAB,70:EA:1A:22:8F:E0,-41,10,16,10,124150763130848,101610
BPGC-NAB,08:4F:A9:10:4B:80,-49,10,16,10,9138231856000,101610
BPGC-NAB,00:A3:8E:60:F2:A0,-72,10,16,10,702468387488,101610
BPGC-WIFI,40:01:7A:B1:00:40,-70,10,16,10,70375097565248,101610
BPGC-NAB,70:EA:1A:22:A9:A0,-66,10,16,10,124150763137440,101610
BPGC-NAB,70:EA:1A:22:96:20,-68,10,16,10,124150763132448,101610
BPGC-NAB,70:EA:1A:22:AC:00,-84,10,16,10,124150763138048,101610
BPGC-NAB,70:EA:1A:22:96:A0,-68,10,16,10,124150763132576,101610
BPGC-NAB,A8:B4:56:CA:8F:40,-72,10,16,10,185492503695168,101610
BPGC-NAB,A8:B4:56:CC:DE:00,-90,10,16,10,185492503846400,101610
BPGC-NAB,70:EA:1A:22:9B:80,-82,10,16,10,124150763133824,101610
BPGC-NAB,70:EA:1A:22:96:00,-33,12,14,10,124150763132416,121410
BPGC-NAB,00:A3:8E:60:F2:A0,-49,12,14,10,702468387488,121410
BPGC-NAB,70:EA:1A:22:A9:40,-57,12,14,10,124150763137344,121410
BPGC-NAB,A8:B4:56:CC:DE:00,-53,12,14,10,185492503846400,121410
BPGC-NAB,70:EA:1A:22:98:20,-50,12,14,10,124150763132960,121410
BPGC-NAB,70:EA:1A:22:A0:20,-59,12,14,10,124150763135008,121410
BPGC-NAB,70:EA:1A:22:A5:A0,-56,12,14,10,124150763136416,121410
BPGC-NAB,70:EA:1A:22:AC:00,-59,12,14,10,124150763138048,121410
BPGC-NAB,08:4F:A9:10:4B:80,-58,12,14,10,9138231856000,121410
BPGC-WIFI,40:01:7A:B1:00:40,-72,12,14,10,70375097565248,121410
BPGC-NAB,70:EA:1A:22:97:80,-72,12,14,10,124150763132800,121410
BPGC-NAB,70:EA:1A:22:9F:20,-71,12,14,10,124150763134752,121410
BPGC-NAB,08:4F:A9:2D:8A:A0,-77,12,14,10,9138233772704,121410
TG,80:14:A8:BE:BB:28,-82,12,14,10,140826218773288,121410
