Name,Address,Signal Level,X,Y,MAC,Location
BPGC-NAB,70:EA:1A:22:8F:E0,-41,20,26,124150763130848,2026
BPGC-NAB,08:4F:A9:10:4B:80,-49,20,26,9138231856000,2026
BPGC-NAB,00:A3:8E:60:F2:A0,-72,20,26,702468387488,2026
BPGC-WIFI,40:01:7A:B1:00:40,-70,20,26,70375097565248,2026
BPGC-NAB,70:EA:1A:22:A9:A0,-66,20,26,124150763137440,2026
BPGC-NAB,70:EA:1A:22:96:20,-68,20,26,124150763132448,2026
BPGC-NAB,70:EA:1A:22:AC:00,-84,20,26,124150763138048,2026
BPGC-NAB,70:EA:1A:22:96:A0,-68,20,26,124150763132576,2026
BPGC-NAB,A8:B4:56:CA:8F:40,-72,20,26,185492503695168,2026
BPGC-NAB,A8:B4:56:CC:DE:00,-90,20,26,185492503846400,2026
BPGC-NAB,70:EA:1A:22:9B:80,-82,20,26,124150763133824,2026
BPGC-NAB,70:EA:1A:22:96:00,-33,22,24,124150763132416,2224
BPGC-NAB,00:A3:8E:60:F2:A0,-49,22,24,702468387488,2224
BPGC-NAB,70:EA:1A:22:A9:40,-57,22,24,124150763137344,2224
BPGC-NAB,A8:B4:56:CC:DE:00,-53,22,24,185492503846400,2224
BPGC-NAB,70:EA:1A:22:98:20,-50,22,24,124150763132960,2224
BPGC-NAB,70:EA:1A:22:A0:20,-59,22,24,124150763135008,2224
BPGC-NAB,70:EA:1A:22:A5:A0,-56,22,24,124150763136416,2224
BPGC-NAB,70:EA:1A:22:AC:00,-59,22,24,124150763138048,2224
BPGC-NAB,08:4F:A9:10:4B:80,-58,22,24,9138231856000,2224
BPGC-WIFI,40:01:7A:B1:00:40,-72,22,24,70375097565248,2224
BPGC-NAB,70:EA:1A:22:97:80,-72,22,24,124150763132800,2224
BPGC-NAB,70:EA:1A:22:9F:20,-71,22,24,124150763134752,2224
BPGC-NAB,08:4F:A9:2D:8A:A0,-77,22,24,9138233772704,2224
TG,80:14:A8:BE:BB:28,-82,22,24,140826218773288,2224
sks,88:63:DF:BB:74:A5,-78,22,24,149962536744101,2224
BPGC-NAB,08:4F:A9:2D:8A:40,-78,22,24,9138233772608,2224
BPGC-NAB,70:EA:1A:22:8F:E0,-65,22,24,124150763130848,2224
BPGC-NAB,70:EA:1A:22:87:60,-80,22,24,124150763128672,2224
BPGC-NAB,08:4F:A9:39:68:40,-79,22,24,9138234550336,2224
BPGC-WIFI,40:01:7A:01:B8:80,-81,22,24,70375086078080,2224
BPGC-NAB,70:EA:1A:22:96:20,-72,22,24,124150763132448,2224
BPGC-NAB,70:EA:1A:22:96:A0,-81,22,24,124150763132576,2224
BPGC-NAB,08:4F:A9:30:00:00,-84,22,24,9138233933824,2224
BPGC-NAB,08:4F:A9:2D:8A:40,-44,25,20,9138233772608,2520
BPGC-NAB,08:4F:A9:39:68:20,-49,25,20,9138234550304,2520
BPGC-NAB,08:4F:A9:2D:8A:A0,-55,25,20,9138233772704,2520
BPGC-NAB,70:EA:1A:22:9F:20,-68,25,20,124150763134752,2520
BPGC-NAB,00:A3:8E:4E:29:A0,-73,25,20,702467156384,2520
BPGC-NAB,08:4F:A9:39:68:40,-70,25,20,9138234550336,2520
BPGC-NAB,A8:B4:56:CC:DE:00,-75,25,20,185492503846400,2520
sks,88:63:DF:BB:74:A5,-76,25,20,149962536744101,2520
BPGC-NAB,70:EA:1A:22:A5:A0,-73,25,20,124150763136416,2520
BPGC-NAB,70:EA:1A:22:87:60,-73,25,20,124150763128672,2520
BPGC-NAB,08:4F:A9:30:00:00,-76,25,20,9138233933824,2520
BPGC-NAB,70:EA:1A:22:98:20,-77,25,20,124150763132960,2520
CRT-MIFI,8C:21:A7:E1:4E:22,-69,25,20,154076178370082,2520
BPGC-NAB,70:EA:1A:22:A9:A0,-72,25,20,124150763137440,2520
BPGC-NAB,70:EA:1A:22:96:00,-76,25,20,124150763132416,2520
BPGC-NAB,70:EA:1A:22:A0:20,-84,25,20,124150763135008,2520
BPGC-NAB,70:EA:1A:22:9F:E0,-85,25,20,124150763134944,2520
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,-94,25,20,190090214554142,2520
BPGC-NAB,70:EA:1A:22:8F:E0,-82,25,20,124150763130848,2520
BPGC-NAB,70:EA:1A:22:AC:00,-76,25,20,124150763138048,2520
BPGC-NAB,08:4F:A9:10:4B:80,-82,25,20,9138231856000,2520
BPGC-NAB,70:EA:1A:22:A9:40,-76,25,20,124150763137344,2520
BPGC-NAB,00:A3:8E:60:F2:A0,-94,25,20,702468387488,2520
BPGC-NAB,70:EA:1A:22:92:40,-86,25,20,124150763131456,2520
BPGC-NAB,70:EA:1A:22:97:80,-92,25,20,124150763132800,2520
BPGC-NAB,70:EA:1A:22:96:A0,-96,25,20,124150763132576,2520
BPGC-WIFI,40:01:7A:01:B8:80,-88,25,20,70375086078080,2520
BPGC-NAB,08:4F:A9:2D:8A:A0,-46,20,20,9138233772704,2020
BPGC-NAB,08:4F:A9:10:4B:80,-55,20,20,9138231856000,2020
BPGC-NAB,08:4F:A9:2D:8A:40,-54,20,20,9138233772608,2020
BPGC-NAB,00:A3:8E:60:F2:A0,-52,20,20,702468387488,2020
BPGC-NAB,08:4F:A9:39:68:20,-56,20,20,9138234550304,2020
BPGC-NAB,70:EA:1A:22:96:00,-66,20,20,124150763132416,2020
BPGC-NAB,70:EA:1A:22:AC:00,-67,20,20,124150763138048,2020
BPGC-NAB,70:EA:1A:22:A9:A0,-55,20,20,124150763137440,2020
CRT-MIFI,8C:21:A7:E1:4E:22,-69,20,20,154076178370082,2020
BPGC-NAB,00:A3:8E:4E:29:A0,-72,20,20,702467156384,2020
BPGC-NAB,A8:B4:56:CC:DE:00,-78,20,20,185492503846400,2020
BPGC-NAB,70:EA:1A:22:9F:20,-67,20,20,124150763134752,2020
BPGC-NAB,70:EA:1A:22:98:20,-82,20,20,124150763132960,2020
BPGC-NAB,08:4F:A9:30:00:00,-78,20,20,9138233933824,2020
BPGC-WIFI,40:01:7A:AF:D3:60,-68,20,20,70375097488224,2020
BPGC-WIFI,40:01:7A:01:B8:8F,-69,20,20,70375086078095,2020
BPGC-NAB,70:EA:1A:22:8F:E0,-63,20,20,124150763130848,2020
BPGC-WIFI,40:01:7A:C6:A5:60,-84,20,20,70375098983776,2020
sks,88:63:DF:BB:74:A5,-85,20,20,149962536744101,2020
BPGC-NAB,70:EA:1A:22:A0:20,-81,20,20,124150763135008,2020
BPGC-NAB,70:EA:1A:22:92:40,-82,20,20,124150763131456,2020
BPGC-NAB,70:EA:1A:22:87:60,-74,20,20,124150763128672,2020
BPGC-NAB,08:4F:A9:39:68:40,-75,20,20,9138234550336,2020
BPGC-NAB,70:EA:1A:22:A9:40,-78,20,20,124150763137344,2020
BPGC-WIFI,40:01:7A:01:B8:80,-81,20,20,70375086078080,2020
BPGC-NAB,70:EA:1A:22:A5:A0,-87,20,20,124150763136416,2020
BPGC-NAB,70:EA:1A:22:97:80,-79,20,20,124150763132800,2020
BPGC-WIFI,40:01:7A:CC:88:20,-85,20,20,70375099369504,2020
BPGC-NAB,08:4F:A9:39:68:20,-53,29,20,9138234550304,2920
BPGC-NAB,70:EA:1A:22:87:60,-53,29,20,124150763128672,2920
BPGC-NAB,70:EA:1A:22:9F:E0,-60,29,20,124150763134944,2920
BPGC-NAB,70:EA:1A:22:92:40,-64,29,20,124150763131456,2920
BPGC-NAB,08:4F:A9:2D:8A:40,-65,29,20,9138233772608,2920
BPGC-NAB,A8:B4:56:CC:DE:00,-66,29,20,185492503846400,2920
BPGC-NAB,70:EA:1A:22:A5:A0,-74,29,20,124150763136416,2920
BPGC-NAB,70:EA:1A:22:A0:20,-75,29,20,124150763135008,2920
BPGC-NAB,08:4F:A9:2D:8A:A0,-78,29,20,9138233772704,2920
BPGC-NAB,08:4F:A9:39:68:40,-79,29,20,9138234550336,2920
BPGC-NAB,08:4F:A9:30:00:00,-80,29,20,9138233933824,2920
CRT-MIFI,8C:21:A7:E1:4E:22,-85,29,20,154076178370082,2920
BPGC-NAB,70:EA:1A:22:A9:A0,-86,29,20,124150763137440,2920
BPGC-NAB,70:EA:1A:22:9F:20,-85,29,20,124150763134752,2920
BPGC-NAB,00:A3:8E:4E:29:A0,-88,29,20,702467156384,2920
BPGC-NAB,70:EA:1A:22:97:80,-87,29,20,124150763132800,2920
BPGC-NAB,08:4F:A9:39:6A:40,-88,29,20,9138234550848,2920
BPGC-NAB,70:EA:1A:22:98:20,-89,29,20,124150763132960,2920
BPGC-NAB,08:4F:A9:10:4B:80,-91,29,20,9138231856000,2920
BPGC-NAB,70:EA:1A:22:8F:E0,-92,29,20,124150763130848,2920
BPGC-NAB,70:EA:1A:22:96:00,-93,29,20,124150763132416,2920
BPGC-NAB,70:EA:1A:22:9B:E0,-92,29,20,124150763133920,2920
BPGC-NAB,70:EA:1A:22:9B:80,-94,29,20,124150763133824,2920
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,-96,29,20,190090214554142,2920
BPGC-NAB,70:EA:1A:22:A9:40,-86,29,20,124150763137344,2920
BPGC-NAB,70:EA:1A:22:9F:80,-91,29,20,124150763134848,2920
BPGC-NAB,00:A3:8E:60:F2:A0,-94,29,20,702468387488,2920
BPGC-NAB,08:4F:A9:2D:8A:A0,-34,22,20,9138233772704,2220
BPGC-NAB,70:EA:1A:22:A9:A0,-51,22,20,124150763137440,2220
BPGC-NAB,08:4F:A9:2D:8A:40,-43,22,20,9138233772608,2220
BPGC-NAB,08:4F:A9:39:68:20,-47,22,20,9138234550304,2220
BPGC-NAB,70:EA:1A:22:9F:20,-58,22,20,124150763134752,2220
BPGC-NAB,70:EA:1A:22:98:20,-71,22,20,124150763132960,2220
BPGC-NAB,70:EA:1A:22:AC:00,-66,22,20,124150763138048,2220
CRT-MIFI,8C:21:A7:E1:4E:22,-67,22,20,154076178370082,2220
BPGC-NAB,70:EA:1A:22:96:00,-70,22,20,124150763132416,2220
BPGC-NAB,00:A3:8E:4E:29:A0,-69,22,20,702467156384,2220
BPGC-NAB,08:4F:A9:30:00:00,-76,22,20,9138233933824,2220
BPGC-NAB,70:EA:1A:22:87:60,-71,22,20,124150763128672,2220
BPGC-WIFI,40:01:7A:B1:00:40,-79,22,20,70375097565248,2220
BPGC-NAB,70:EA:1A:22:A0:20,-80,22,20,124150763135008,2220
BPGC-NAB,08:4F:A9:39:68:40,-69,22,20,9138234550336,2220
BPGC-NAB,70:EA:1A:22:97:80,-82,22,20,124150763132800,2220
sks,88:63:DF:BB:74:A5,-85,22,20,149962536744101,2220
BPGC-NAB,70:EA:1A:22:8F:E0,-75,22,20,124150763130848,2220
BPGC-NAB,08:4F:A9:10:4B:80,-71,22,20,9138231856000,2220
BPGC-NAB,70:EA:1A:22:A5:A0,-80,22,20,124150763136416,2220
BPGC-NAB,70:EA:1A:22:92:40,-81,22,20,124150763131456,2220
BPGC-NAB,A8:B4:56:CC:DE:00,-79,22,20,185492503846400,2220
BPGC-NAB,70:EA:1A:22:9F:E0,-86,22,20,124150763134944,2220
BPGC-WIFI,40:01:7A:C6:A5:60,-86,22,20,70375098983776,2220
BPGC-NAB,00:A3:8E:60:F2:A0,-80,22,20,702468387488,2220
BPGC-NAB,A8:B4:56:CA:8F:40,-89,22,20,185492503695168,2220
BPGC-NAB,70:EA:1A:22:A9:40,-77,22,20,124150763137344,2220
BPGC-NAB,A8:B4:56:CC:DE:00,-31,28,24,185492503846400,2824
BPGC-NAB,70:EA:1A:22:A0:20,-40,28,24,124150763135008,2824
BPGC-NAB,70:EA:1A:22:97:80,-58,28,24,124150763132800,2824
BPGC-NAB,70:EA:1A:22:A5:A0,-54,28,24,124150763136416,2824
BPGC-NAB,70:EA:1A:22:96:00,-60,28,24,124150763132416,2824
BPGC-NAB,70:EA:1A:22:87:60,-57,28,24,124150763128672,2824
BPGC-NAB,70:EA:1A:22:A9:40,-56,28,24,124150763137344,2824
BPGC-NAB,70:EA:1A:22:AC:00,-65,28,24,124150763138048,2824
BPGC-NAB,70:EA:1A:22:98:20,-53,28,24,124150763132960,2824
BPGC-NAB,00:A3:8E:60:F2:A0,-67,28,24,702468387488,2824
BPGC-NAB,70:EA:1A:22:92:40,-76,28,24,124150763131456,2824
BPGC-NAB,70:EA:1A:22:8F:E0,-72,28,24,124150763130848,2824
BPGC-NAB,70:EA:1A:22:9B:80,-64,28,24,124150763133824,2824
BPGC-NAB,08:4F:A9:39:68:20,-74,28,24,9138234550304,2824
CRT-MIFI,8C:21:A7:E1:4E:22,-79,28,24,154076178370082,2824
BPGC-NAB,70:EA:1A:22:96:A0,-78,28,24,124150763132576,2824
bhikkhu,60:6D:C7:A3:30:E3,-81,28,24,106024617062627,2824
BPGC-NAB,08:4F:A9:2D:8A:A0,-82,28,24,9138233772704,2824
BPGC-NAB,08:4F:A9:30:00:00,-69,28,24,9138233933824,2824
BPGC-NAB,08:4F:A9:39:68:40,-76,28,24,9138234550336,2824
BPGC-NAB,70:EA:1A:22:9F:80,-87,28,24,124150763134848,2824
BPGC-NAB,70:EA:1A:22:A9:A0,-88,28,24,124150763137440,2824
BPGC-NAB,08:4F:A9:10:4B:80,-74,28,24,9138231856000,2824
BPGC-NAB,70:EA:1A:22:9B:E0,-75,28,24,124150763133920,2824
BPGC-NAB,A8:B4:56:CA:8F:40,-86,28,24,185492503695168,2824
sks,88:63:DF:BB:74:A5,-81,28,24,149962536744101,2824
BPGC-NAB,00:A3:8E:4E:29:A0,-80,28,24,702467156384,2824
BPGC-NAB,08:4F:A9:2D:8A:40,-76,28,24,9138233772608,2824
BPGC-NAB,70:EA:1A:22:9F:E0,-73,28,24,124150763134944,2824
BPGC-NAB,70:EA:1A:22:96:20,-85,28,24,124150763132448,2824
BPGC-NAB,08:4F:A9:10:4B:80,-30,20,21,9138231856000,2021
BPGC-NAB,70:EA:1A:22:96:00,-48,20,21,124150763132416,2021
BPGC-NAB,70:EA:1A:22:A9:A0,-52,20,21,124150763137440,2021
BPGC-NAB,00:A3:8E:60:F2:A0,-53,20,21,702468387488,2021
BPGC-NAB,70:EA:1A:22:AC:00,-56,20,21,124150763138048,2021
BPGC-NAB,70:EA:1A:22:8F:E0,-50,20,21,124150763130848,2021
BPGC-NAB,70:EA:1A:22:A9:40,-70,20,21,124150763137344,2021
BPGC-NAB,08:4F:A9:2D:8A:A0,-61,20,21,9138233772704,2021
BPGC-WIFI,40:01:7A:01:B8:80,-70,20,21,70375086078080,2021
BPGC-NAB,70:EA:1A:22:9F:20,-69,20,21,124150763134752,2021
BPGC-NAB,70:EA:1A:22:96:A0,-78,20,21,124150763132576,2021
