Name,Address,Company,Signal Level,Frequency,Channel,Security,Cipher,BSS Type,WPS Support,Time,Longitude,Latitude,X,Y,Z
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-41,2437,6,None,None,Infrastructure,No,12/02/2020 23:28:27,,,0,6,0
BPGC-NAB,08:4F:A9:10:4B:80,,-49,2462,11,None,None,Infrastructure,No,12/02/2020 23:28:27,,,0,6,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-72,2462,11,None,None,Infrastructure,No,12/02/2020 23:28:33,,,0,6,0
BPGC-WIFI,40:01:7A:B1:00:40,"Cisco Systems, Inc",-70,2462,11,None,None,Infrastructure,No,12/02/2020 23:26:38,,,0,6,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-66,2437,6,None,None,Infrastructure,No,12/02/2020 23:30:27,,,0,6,0
BPGC-NAB,70:EA:1A:22:96:20,"Cisco Systems, Inc",-68,2462,11,None,None,Infrastructure,No,12/02/2020 23:30:28,,,0,6,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-84,2437,6,None,None,Infrastructure,No,12/02/2020 23:28:27,,,0,6,0
BPGC-NAB,70:EA:1A:22:96:A0,"Cisco Systems, Inc",-68,2412,1,None,None,Infrastructure,No,12/02/2020 23:28:28,,,0,6,0
BPGC-NAB,A8:B4:56:CA:8F:40,"Cisco Systems, Inc",-72,2437,6,None,None,Infrastructure,No,12/02/2020 23:30:33,,,0,6,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-90,2462,11,None,None,Infrastructure,No,12/02/2020 23:28:31,,,0,6,0
BPGC-NAB,70:EA:1A:22:9B:80,"Cisco Systems, Inc",-82,2412,1,None,None,Infrastructure,No,12/02/2020 23:31:26,,,0,6,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-33,2412,1,None,None,Infrastructure,No,12/02/2020 23:04:36,,,2,4,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-49,2462,11,None,None,Infrastructure,No,12/02/2020 23:02:30,,,2,4,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-57,2462,11,None,None,Infrastructure,No,12/02/2020 23:00:32,,,2,4,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-53,2462,11,None,None,Infrastructure,No,12/02/2020 23:04:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-50,2437,6,None,None,Infrastructure,No,12/02/2020 23:02:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-59,2437,6,None,None,Infrastructure,No,12/02/2020 23:00:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-56,2462,11,None,None,Infrastructure,No,12/02/2020 23:04:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-59,2437,6,None,None,Infrastructure,No,12/02/2020 23:04:54,,,2,4,0
BPGC-NAB,08:4F:A9:10:4B:80,,-58,2462,11,None,None,Infrastructure,No,12/02/2020 23:04:36,,,2,4,0
BPGC-WIFI,40:01:7A:B1:00:40,"Cisco Systems, Inc",-72,2462,11,None,None,Infrastructure,No,12/02/2020 23:00:34,,,2,4,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-72,2412,1,None,None,Infrastructure,No,12/02/2020 23:00:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:9F:20,"Cisco Systems, Inc",-71,2462,11,None,None,Infrastructure,No,12/02/2020 23:02:34,,,2,4,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-77,2412,1,None,None,Infrastructure,No,12/02/2020 23:04:54,,,2,4,0
TG,80:14:A8:BE:BB:28,"Guangzhou V-SOLUTION Electronic Technology Co., Ltd.",-82,2412,1,WPA-PSK + WPA2-PSK,TKIP + CCMP,Infrastructure,Yes,12/02/2020 23:00:32,,,2,4,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-78,2462,11,WPA2-PSK,CCMP,Infrastructure,No,12/02/2020 23:04:34,,,2,4,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-78,2462,11,None,None,Infrastructure,No,12/02/2020 23:02:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-65,2437,6,None,None,Infrastructure,No,12/02/2020 23:00:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-80,2412,1,None,None,Infrastructure,No,12/02/2020 23:00:36,,,2,4,0
BPGC-NAB,08:4F:A9:39:68:40,,-79,2462,11,None,None,Infrastructure,No,12/02/2020 23:04:34,,,2,4,0
BPGC-WIFI,40:01:7A:01:B8:80,"Cisco Systems, Inc",-81,2412,1,None,None,Infrastructure,No,12/02/2020 23:02:32,,,2,4,0
BPGC-NAB,70:EA:1A:22:96:20,"Cisco Systems, Inc",-72,2462,11,None,None,Infrastructure,No,12/02/2020 23:02:36,,,2,4,0
BPGC-NAB,70:EA:1A:22:96:A0,"Cisco Systems, Inc",-81,2412,1,None,None,Infrastructure,No,12/02/2020 23:04:30,,,2,4,0
BPGC-NAB,08:4F:A9:30:00:00,,-84,2437,6,None,None,Infrastructure,No,12/02/2020 23:04:32,,,2,4,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-44,2462,11,None,None,Infrastructure,No,11/02/20 11:00:07 PM,,,5,0,0
BPGC-NAB,08:4F:A9:39:68:20,,-49,2437,6,None,None,Infrastructure,No,11/02/20 11:00:09 PM,,,5,0,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-55,2412,1,None,None,Infrastructure,No,11/02/20 11:00:21 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:9F:20,"Cisco Systems, Inc",-68,2462,11,None,None,Infrastructure,No,11/02/20 10:55:33 PM,,,5,0,0
BPGC-NAB,00:A3:8E:4E:29:A0,"Cisco Systems, Inc",-73,2412,1,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,08:4F:A9:39:68:40,,-70,2462,11,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-75,2462,11,None,None,Infrastructure,No,11/02/20 11:00:09 PM,,,5,0,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-76,2462,11,WPA2-PSK,CCMP,Infrastructure,No,11/02/20 10:55:30 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-73,2462,11,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-73,2412,1,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,08:4F:A9:30:00:00,,-76,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-77,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-69,2427,4,WPA-PSK,CCMP,Infrastructure,No,11/02/20 10:58:26 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-72,2437,6,None,None,Infrastructure,No,11/02/20 11:00:07 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-76,2412,1,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-84,2437,6,None,None,Infrastructure,No,11/02/20 11:00:21 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:9F:E0,"Cisco Systems, Inc",-85,2462,11,None,None,Infrastructure,No,11/02/20 11:00:09 PM,,,5,0,0
DIRECT-1D-HP DeskJet 2600 series,AC:E2:D3:B6:BA:1E,Hewlett Packard,-94,2437,6,WPA2-PSK,CCMP,Infrastructure,Yes,11/02/20 10:55:30 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-82,2437,6,None,None,Infrastructure,No,11/02/20 10:55:31 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-76,2437,6,None,None,Infrastructure,No,11/02/20 11:00:21 PM,,,5,0,0
BPGC-NAB,08:4F:A9:10:4B:80,,-82,2462,11,None,None,Infrastructure,No,11/02/20 11:00:05 PM,,,5,0,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-76,2462,11,None,None,Infrastructure,No,11/02/20 10:55:33 PM,,,5,0,0
